COUNTRY,ISO3,WHO_REGION,DATA_SOURCE,DATE_UPDATED,TOTAL_VACCINATIONS,PERSONS_VACCINATED_1PLUS_DOSE,TOTAL_VACCINATIONS_PER100,PERSONS_VACCINATED_1PLUS_DOSE_PER100,PERSONS_FULLY_VACCINATED,PERSONS_FULLY_VACCINATED_PER100,VACCINES_USED,FIRST_VACCINE_DATE,NUMBER_VACCINES_TYPES_USED
Afghanistan,AFG,EMRO,REPORTING,2/27/2022,5535254,4907058,14.219,12.605,4231984,10.871,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2/22/2021,4
Albania,ALB,EURO,REPORTING,2/20/2022,2707658,1284034,94.1,45.118,1192155,41.889,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/13/2021,5
Algeria,DZA,AFRO,REPORTING,2/20/2022,13631683,7456361,31.086,17.004,6076272,13.857,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,SII - Covishield,Sinovac - CoronaVac",1/30/2021,4
American Samoa,ASM,WPRO,REPORTING,2/16/2022,85050,42212,154.084,76.475,37805,68.491,"Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/21/2020,3
Andorra,AND,EURO,REPORTING,2/13/2022,142420,57797,184.3,75.872,53250,69.903,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/20/2021,3
Angola,AGO,AFRO,REPORTING,2/22/2022,16259606,10591264,49.472,32.225,5448403,16.577,SII - Covishield,3/10/2021,1
Anguilla,AIA,AMRO,REPORTING,2/25/2022,22165,10370,147.747,69.124,9531,63.532,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",2/5/2021,2
Antigua and Barbuda,ATG,AMRO,REPORTING,2/25/2022,124726,63582,127.364,64.927,61144,62.437,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/2021,6
Argentina,ARG,AMRO,REPORTING,2/25/2022,93008081,40572052,205.789,89.77,36237826,80.18,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",12/29/2020,7
Armenia,ARM,EURO,REPORTING,2/13/2022,1971565,1080404,66.5,36.46,872336,29.439,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Sinovac - CoronaVac",6/16/2021,5
Aruba,ABW,AMRO,REPORTING,2/25/2022,167759,87350,157.128,81.814,80409,75.313,"Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty",2/17/2021,2
Australia,AUS,WPRO,REPORTING,2/20/2022,53297217,21980295,209.01,86.198,20423361,80.092,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2/21/2021,5
Austria,AUT,EURO,REPORTING,2/20/2022,17855030,6791963,200.6,76.305,6547061,73.554,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4
Azerbaijan,AZE,EURO,REPORTING,2/20/2022,12659541,5309691,124.9,52.368,4779944,47.143,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,Sinovac - CoronaVac",1/20/2021,4
Bahamas,BHS,AMRO,REPORTING,2/25/2022,327515,163061,83.285,41.466,153878,39.13,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/14/2021,4
Bahrain,BHR,EMRO,REPORTING,2/27/2022,3403616,1230675,200.027,72.326,1210164,71.12,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Gamaleya - Sputnik-Light,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",11/4/2020,8
Bangladesh,BGD,SEARO,REPORTING,2/22/2022,187806957,105005357,114.037,63.76,79460882,48.249,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/27/2021,8
Barbados,BRB,AMRO,REPORTING,2/25/2022,309125,159958,107.569,55.662,149167,51.907,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",1/8/2021,5
Belarus,BLR,EURO,REPORTING,2/20/2022,10649534,5528298,112.7,58.505,4632574,49.025,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac",2/3/2021,2
Belgium,BEL,EURO,REPORTING,2/20/2022,24601511,9199837,213.5,79.843,9038321,78.441,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4
Belize,BLZ,AMRO,REPORTING,2/25/2022,458351,234370,115.271,58.942,206583,51.954,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",3/1/2021,5
Benin,BEN,AFRO,REPORTING,2/22/2022,2788620,2591583,23.002,21.377,2013843,16.611,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/29/2021,5
Bermuda,BMU,AMRO,REPORTING,2/25/2022,124342,46961,199.672,75.411,46119,74.059,"AstraZeneca - Vaxzevria,Pfizer BioNTech - Comirnaty",1/11/2021,2
Bhutan,BTN,SEARO,REPORTING,2/20/2022,1584463,596419,205.346,77.296,574529,74.459,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",3/27/2021,5
Bolivia (Plurinational State of),BOL,AMRO,REPORTING,2/25/2022,12606278,6944412,107.995,59.491,5614579,48.099,"Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",1/30/2021,6
Bonaire,XAA,AMRO,REPORTING,2/25/2022,33014,17366,157.848,83.031,15648,74.817,,,
"Bonaire, Sint Eustatius and Saba",BES,AMRO,REPORTING,4/9/2021,7391,5726,28.441,22.034,2965,11.41,"Moderna - Spikevax,Pfizer BioNTech - Comirnaty",2/22/2021,2
Bosnia and Herzegovina,BIH,EURO,REPORTING,1/29/2022,1924950,943394,58.7,28.755,846080,25.789,"AstraZeneca - AZD1222, Pfizer BioNTech - Comirnaty, Sinovac - CoronaVac, Gamaleya - Sputnik V",,4
Botswana,BWA,AFRO,REPORTING,2/25/2022,1422523,1422523,60.491,60.491,1162835,49.448,"Bharat - Covaxin,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",3/26/2021,6
Brazil,BRA,AMRO,REPORTING,2/25/2022,369527744,172334091,173.847,81.076,148777530,69.993,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/17/2021,5
British Virgin Islands,VGB,AMRO,REPORTING,2/25/2022,36610,18923,121.077,62.582,17325,57.297,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S",2/11/2021,2
Brunei Darussalam,BRN,WPRO,REPORTING,2/18/2022,1026843,407565,234.718,93.162,404301,92.416,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",4/3/2021,5
Bulgaria,BGR,EURO,REPORTING,2/20/2022,4275051,2073249,61.5,29.825,2031747,29.228,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020,4
Burkina Faso,BFA,AFRO,REPORTING,2/27/2022,2320456,2113440,11.101,10.111,1145006,5.478,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,SII - Covishield",6/2/2021,3
Burundi,BDI,AFRO,REPORTING,2/24/2022,11101,9366,0.093,0.079,8790,0.074,Beijing CNBG - BBIBP-CorV,10/18/2021,1
Cabo Verde,CPV,AFRO,REPORTING,2/26/2022,704843,352330,126.773,63.37,297833,53.568,"Beijing CNBG - BBIBP-CorV,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",3/18/2021,4
Cambodia,KHM,WPRO,REPORTING,2/18/2022,34191879,14391164,204.51,86.077,13815943,82.636,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",2/10/2021,7
Cameroon,CMR,AFRO,REPORTING,2/22/2022,1267525,1068604,4.775,4.026,809698,3.05,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",4/12/2021,4
Canada,CAN,AMRO,REPORTING,2/25/2022,80233844,32365984,212.584,85.756,30693702,81.325,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",12/14/2020,5
Cayman Islands,CYM,AMRO,REPORTING,2/25/2022,143257,61502,217.981,93.582,59726,90.879,Pfizer BioNTech - Comirnaty,1/15/2021,1
Central African Republic,CAF,AFRO,REPORTING,2/25/2022,855735,775176,17.718,16.05,738466,15.29,"Bharat - Covaxin,SII - Covishield",3/19/2021,2
Chad,TCD,AFRO,REPORTING,2/18/2022,403992,271031,2.459,1.65,142452,0.867,Beijing CNBG - BBIBP-CorV,6/4/2021,1
